dates,gender_gap
1943-12-21,374.97
1945-07-27,323.68
1947-03-03,279.4
1948-10-07,241.11
1950-05-15,208.02
1951-12-20,179.45
1953-07-26,154.83
1955-03-03,133.64
1956-10-07,115.39
1958-05-14,99.69
1959-12-20,86.18
1961-07-26,74.62
1963-03-02,64.7
1964-10-07,56.2
1966-05-14,48.92
1967-12-19,42.73
1969-07-26,37.5
1971-03-02,33.03
1972-10-06,29.21
1974-05-14,25.97
1975-12-19,23.21
1977-07-25,20.87
1979-03-02,18.89
1980-10-06,17.22
1982-05-13,15.81
1983-12-19,14.62
1985-07-25,13.63
1987-03-01,12.81
1988-10-06,12.12
1990-05-13,11.56
1991-12-18,11.11
1993-07-25,10.74
1995-03-01,10.44
1996-10-05,10.2
1998-05-12,10.01
1999-12-18,9.87
2001-07-24,9.77
2003-02-28,9.69
2004-10-05,9.64
2006-05-12,9.6
2007-12-17,9.59
2009-07-24,9.59
2011-02-28,9.61
2012-10-04,9.62
2014-05-12,9.65
2015-12-17,9.69
2017-07-23,9.73
2019-02-28,9.77
2020-10-04,9.82
2022-05-11,9.87
2023-12-17,9.92
2025-07-23,9.96
2027-02-27,10.01
2028-10-04,10.06
2030-05-11,10.11
2031-12-16,10.15
2033-07-23,10.2
2035-02-27,10.25
2036-10-03,10.29
2038-05-11,10.33
2039-12-16,10.36
2041-07-22,10.4
2043-02-27,10.44
2044-10-03,10.47
2046-05-10,10.51
2047-12-16,10.54
2049-07-22,10.57
2051-02-26,10.59
2052-10-02,10.62
2054-05-10,10.66
2055-12-15,10.69
2057-07-21,10.71
2059-02-26,10.74
2060-10-02,10.76
2062-05-09,10.77
2063-12-15,10.79
2065-07-21,10.81
2067-02-25,10.83
2068-10-02,10.85
2070-05-09,10.86
2071-12-14,10.88
2073-07-21,10.89
2075-02-25,10.91
2076-10-01,10.92
2078-05-09,10.93
2079-12-14,10.94
2081-07-20,10.96
2083-02-25,10.97
2084-10-01,10.98
2086-05-08,10.99
2087-12-14,10.99
2089-07-20,11
2091-02-24,11.01
2092-10-01,11.02
2094-05-08,11.03
2095-12-13,11.03
2097-07-20,11.04
2099-02-24,11.05
2100-10-01,11.05
2102-05-09,11.06
