x,y
"Jun 19, 1932",1.2375
"Mar 7, 1934",1.2286
"Nov 24, 1935",1.2199
"Aug 12, 1937",1.2112
"May 1, 1939",1.2026
"Jan 16, 1941",1.1942
"Oct 5, 1942",1.1858
"Jun 23, 1944",1.1774
"Mar 12, 1946",1.1692
"Nov 28, 1947",1.161
"Aug 16, 1949",1.1529
"May 5, 1951",1.145
"Jan 21, 1953",1.1371
"Oct 9, 1954",1.1295
"Jun 27, 1956",1.1221
"Mar 16, 1958",1.1149
"Dec 3, 1959",1.1081
"Aug 21, 1961",1.1015
"May 9, 1963",1.0953
"Jan 25, 1965",1.0894
"Oct 14, 1966",1.0838
"Jul 2, 1968",1.0785
"Mar 20, 1970",1.0736
"Dec 7, 1971",1.0689
"Aug 25, 1973",1.0645
"May 14, 1975",1.0604
"Jan 29, 1977",1.0565
"Oct 18, 1978",1.0529
"Jul 6, 1980",1.0495
"Mar 25, 1982",1.0462
"Dec 12, 1983",1.0432
"Aug 29, 1985",1.0404
"May 18, 1987",1.0377
"Feb 3, 1989",1.0351
"Oct 23, 1990",1.0327
"Jul 10, 1992",1.0305
"Mar 29, 1994",1.0283
"Dec 16, 1995",1.0263
"Sep 3, 1997",1.0244
"May 22, 1999",1.0225
"Feb 7, 2001",1.0208
"Oct 27, 2002",1.0191
"Jul 15, 2004",1.0176
"Apr 3, 2006",1.0161
"Dec 20, 2007",1.0146
"Sep 7, 2009",1.0132
"May 27, 2011",1.0119
"Feb 12, 2013",1.0107
"Oct 31, 2014",1.0095
"Jul 19, 2016",1.0083
"Apr 7, 2018",1.0073
"Dec 25, 2019",1.0062
"Sep 11, 2021",1.0052
"May 31, 2023",1.0042
"Feb 16, 2025",1.0033
"Nov 5, 2026",1.0024
"Jul 23, 2028",1.0016
"Apr 11, 2030",1.0008
"Dec 29, 2031",1
"Sep 16, 2033",0.9993
"Jun 5, 2035",0.9986
"Feb 20, 2037",0.9979
"Nov 9, 2038",0.9973
"Jul 28, 2040",0.9966
"Apr 16, 2042",0.996
"Jan 2, 2044",0.9955
"Sep 20, 2045",0.9949
"Jun 9, 2047",0.9944
"Feb 25, 2049",0.9939
"Nov 13, 2050",0.9935
"Aug 1, 2052",0.993
"Apr 20, 2054",0.9926
"Jan 7, 2056",0.9922
"Sep 25, 2057",0.9918
"Jun 13, 2059",0.9914
"Mar 1, 2061",0.9911
"Nov 18, 2062",0.9907
"Aug 6, 2064",0.9904
"Apr 24, 2066",0.9901
"Jan 11, 2068",0.9898
"Sep 29, 2069",0.9895
"Jun 18, 2071",0.9892
"Mar 5, 2073",0.989
"Nov 22, 2074",0.9888
"Aug 10, 2076",0.9885
"Apr 29, 2078",0.9883
"Jan 16, 2080",0.9881
"Oct 3, 2081",0.9879
"Jun 22, 2083",0.9877
"Mar 10, 2085",0.9875
"Nov 27, 2086",0.9873
"Aug 14, 2088",0.9872
"May 3, 2090",0.987
"Jan 20, 2092",0.9869
"Oct 8, 2093",0.9867
"Jun 26, 2095",0.9866
"Mar 14, 2097",0.9865
"Dec 1, 2098",0.9864
"Aug 20, 2100",0.9862
"May 9, 2102",0.9861
