x,y
"Dec 21, 1943",5.7526
"Sep 7, 1945",5.0394
"May 27, 1947",4.436
"Feb 12, 1949",3.9257
"Nov 1, 1950",3.494
"Jul 19, 1952",3.1288
"Apr 7, 1954",2.82
"Dec 25, 1955",2.5587
"Sep 12, 1957",2.3377
"May 31, 1959",2.1507
"Feb 16, 1961",1.9926
"Nov 5, 1962",1.8588
"Jul 24, 1964",1.7457
"Apr 11, 1966",1.65
"Dec 29, 1967",1.569
"Sep 16, 1969",1.5006
"Jun 5, 1971",1.4426
"Feb 21, 1973",1.3936
"Nov 9, 1974",1.3522
"Jul 28, 1976",1.3171
"Apr 16, 1978",1.2875
"Jan 3, 1980",1.2624
"Sep 20, 1981",1.2412
"Jun 9, 1983",1.2232
"Feb 25, 1985",1.208
"Nov 14, 1986",1.1952
"Aug 1, 1988",1.1843
"Apr 20, 1990",1.1751
"Jan 7, 1992",1.1674
"Sep 25, 1993",1.1608
"Jun 14, 1995",1.1552
"Mar 1, 1997",1.1505
"Nov 18, 1998",1.1465
"Aug 6, 2000",1.1432
"Apr 25, 2002",1.1403
"Jan 11, 2004",1.1379
"Sep 29, 2005",1.1359
"Jun 18, 2007",1.1342
"Mar 6, 2009",1.1327
"Nov 22, 2010",1.1315
"Aug 10, 2012",1.1304
"Apr 29, 2014",1.1295
"Jan 16, 2016",1.1288
"Oct 4, 2017",1.1282
"Jun 22, 2019",1.1276
"Mar 10, 2021",1.1272
"Nov 27, 2022",1.1268
"Aug 15, 2024",1.1265
"May 3, 2026",1.1262
"Jan 20, 2028",1.126
"Oct 8, 2029",1.1258
"Jun 27, 2031",1.1256
"Mar 14, 2033",1.1255
"Dec 1, 2034",1.1254
"Aug 19, 2036",1.1253
"May 8, 2038",1.1252
"Jan 24, 2040",1.1251
"Oct 12, 2041",1.125
"Jul 1, 2043",1.125
"Mar 19, 2045",1.1249
"Dec 6, 2046",1.1249
"Aug 23, 2048",1.1249
"May 12, 2050",1.1248
"Jan 29, 2052",1.1248
"Oct 17, 2053",1.1248
"Jul 5, 2055",1.1248
"Mar 23, 2057",1.1248
"Dec 10, 2058",1.1248
"Aug 28, 2060",1.1248
"May 16, 2062",1.1247
"Feb 2, 2064",1.1247
"Oct 21, 2065",1.1247
"Jul 10, 2067",1.1247
"Mar 28, 2069",1.1247
"Dec 14, 2070",1.1247
"Sep 1, 2072",1.1247
"May 21, 2074",1.1247
"Feb 7, 2076",1.1247
"Oct 25, 2077",1.1247
"Jul 14, 2079",1.1247
"Apr 1, 2081",1.1247
"Dec 19, 2082",1.1247
"Sep 5, 2084",1.1247
"May 25, 2086",1.1247
"Feb 11, 2088",1.1247
"Oct 30, 2089",1.1247
"Jul 19, 2091",1.1247
"Apr 5, 2093",1.1247
"Dec 23, 2094",1.1247
"Sep 10, 2096",1.1247
"May 30, 2098",1.1247
"Feb 15, 2100",1.1247
"Nov 4, 2101",1.1247
"Jul 24, 2103",1.1247
"Apr 11, 2105",1.1247
"Dec 28, 2106",1.1247
"Sep 15, 2108",1.1247
"Jun 4, 2110",1.1247
"Feb 21, 2112",1.1247
"Nov 9, 2113",1.1247
