x,y
"Jun 19, 1932",1.3063
"Mar 7, 1934",1.2896
"Nov 24, 1935",1.2739
"Aug 12, 1937",1.2591
"May 1, 1939",1.2451
"Jan 16, 1941",1.2319
"Oct 5, 1942",1.2194
"Jun 23, 1944",1.2077
"Mar 12, 1946",1.1966
"Nov 28, 1947",1.1861
"Aug 16, 1949",1.1763
"May 5, 1951",1.167
"Jan 21, 1953",1.1582
"Oct 9, 1954",1.1499
"Jun 27, 1956",1.1421
"Mar 16, 1958",1.1347
"Dec 3, 1959",1.1278
"Aug 21, 1961",1.1212
"May 9, 1963",1.115
"Jan 25, 1965",1.1092
"Oct 14, 1966",1.1037
"Jul 2, 1968",1.0985
"Mar 20, 1970",1.0936
"Dec 7, 1971",1.0889
"Aug 25, 1973",1.0846
"May 14, 1975",1.0804
"Jan 29, 1977",1.0766
"Oct 18, 1978",1.0729
"Jul 6, 1980",1.0694
"Mar 25, 1982",1.0662
"Dec 12, 1983",1.0631
"Aug 29, 1985",1.0602
"May 18, 1987",1.0575
"Feb 3, 1989",1.0549
"Oct 23, 1990",1.0524
"Jul 10, 1992",1.0501
"Mar 29, 1994",1.048
"Dec 16, 1995",1.0459
"Sep 3, 1997",1.044
"May 22, 1999",1.0422
"Feb 7, 2001",1.0404
"Oct 27, 2002",1.0388
"Jul 15, 2004",1.0373
"Apr 3, 2006",1.0359
"Dec 20, 2007",1.0345
"Sep 7, 2009",1.0332
"May 27, 2011",1.032
"Feb 12, 2013",1.0309
"Oct 31, 2014",1.0298
"Jul 19, 2016",1.0288
"Apr 7, 2018",1.0278
"Dec 25, 2019",1.0269
"Sep 11, 2021",1.026
"May 31, 2023",1.0252
"Feb 16, 2025",1.0245
"Nov 5, 2026",1.0238
"Jul 23, 2028",1.0231
"Apr 11, 2030",1.0224
"Dec 29, 2031",1.0218
"Sep 16, 2033",1.0213
"Jun 5, 2035",1.0207
"Feb 20, 2037",1.0202
"Nov 9, 2038",1.0197
"Jul 28, 2040",1.0193
"Apr 16, 2042",1.0189
"Jan 2, 2044",1.0185
"Sep 20, 2045",1.0181
"Jun 9, 2047",1.0177
"Feb 25, 2049",1.0174
"Nov 13, 2050",1.0171
"Aug 1, 2052",1.0168
"Apr 20, 2054",1.0165
"Jan 7, 2056",1.0162
"Sep 25, 2057",1.016
"Jun 13, 2059",1.0157
"Mar 1, 2061",1.0155
"Nov 18, 2062",1.0153
"Aug 6, 2064",1.0151
"Apr 24, 2066",1.0149
"Jan 11, 2068",1.0147
"Sep 29, 2069",1.0146
"Jun 18, 2071",1.0144
"Mar 5, 2073",1.0143
"Nov 22, 2074",1.0141
"Aug 10, 2076",1.014
"Apr 29, 2078",1.0139
"Jan 16, 2080",1.0138
"Oct 3, 2081",1.0136
"Jun 22, 2083",1.0135
"Mar 10, 2085",1.0134
"Nov 27, 2086",1.0133
"Aug 14, 2088",1.0133
"May 3, 2090",1.0132
"Jan 20, 2092",1.0131
"Oct 8, 2093",1.013
"Jun 26, 2095",1.013
"Mar 14, 2097",1.0129
"Dec 1, 2098",1.0128
"Aug 20, 2100",1.0128
"May 9, 2102",1.0127
