time|name|nationality|date|location|unofficial
02:55:18|Johnny Hayes | United States |July 24, 1908 |London, United Kingdom |
02:52:45|Robert Fowler | United States |January 1, 1909 |Yonkers,[nb 5] United States |
02:46:53|James Clark | United States |February 12, 1909 |New York City, United States |
02:46:05|Albert Raines | United States |May 8, 1909 |New York City, United States |
02:42:31|Henry Barrett | United Kingdom |May 26, 1909|Polytechnic Marathon, London, United Kingdom |
02:40:34|Thure Johansson | Sweden |August 31, 1909 |Stockholm, Sweden |
02:38:16|Harry Green | United Kingdom |May 12, 1913 |Polytechnic Marathon |
02:36:07|Alexis Ahlgren | Sweden |May 31, 1913 |Polytechnic Marathon |
02:38:01|Umberto Blasi | Italy |November 29, 1914 |Legnano, Italy |1
02:32:36|Hannes Kolehmainen | Finland |August 22, 1920 |Antwerp, Belgium |
02:29:02|Albert Michelsen | United States |October 12, 1925 |Port Chester, United States |
02:30:58|Harry Payne | United Kingdom |July 5, 1929 |London |1
02:26:14|Sohn Kee Chung |Korea |March 21, 1935 |Tokyo, Japan |1
02:27:49|Fusashige Suzuki | Japan |March 31, 1935 |Tokyo, Japan |
02:26:44|Yasuo Ikenaka | Japan |April 3, 1935 |Tokyo, Japan |
02:26:42|Sohn Kee Chung | Korea |November 3, 1935 |Tokyo, Japan |
02:25:39|Suh Yun-bok | Korea |April 19, 1947 |Boston Marathon |
02:20:42|Jim Peters | United Kingdom |June 14, 1952 |Polytechnic Marathon |
02:18:40|Jim Peters | United Kingdom |June 13, 1953 |Polytechnic Marathon |
02:18:35|Jim Peters | United Kingdom |October 4, 1953 |Turku Marathon |
02:17:39|Jim Peters | United Kingdom |June 26, 1954 |Polytechnic Marathon |
02:18:05|Paavo Kotila | Finland |August 12, 1956 |Pieksämäki, Finland |1
02:15:17|Sergei Popov | Soviet Union |August 24, 1958 |Stockholm, Sweden |
02:15:16|Abebe Bikila | Ethiopia |September 10, 1960 |Rome, Italy |
02:15:16|Toru Terasawa | Japan |February 17, 1963 |Beppu-Ōita Marathon |
02:14:28|Leonard Edelen | United States |June 15, 1963 |Polytechnic Marathon |
02:14:43|Brian Kilby | United Kingdom |July 6, 1963 |Port Talbot, Wales |1
02:13:55|Basil Heatley | United Kingdom |June 13, 1964 |Polytechnic Marathon |
02:12:11|Abebe Bikila | Ethiopia |October 21, 1964 |Tokyo, Japan |
02:12:00|Morio Shigematsu | Japan |June 12, 1965 |Polytechnic Marathon |
02:09:36|Derek Clayton | Australia |December 3, 1967 |Fukuoka Marathon |
02:08:34|Derek Clayton | Australia |May 30, 1969 |Antwerp, Belgium |
02:09:29|Ron Hill | United Kingdom |July 23, 1970 |Edinburgh, Scotland |1
02:09:12|Ian Thompson | United Kingdom |January 31, 1974 |Christchurch, New Zealand |1
02:09:06|Shigeru So | Japan |February 5, 1978 |Beppu-Ōita Marathon |1
02:09:01|Gerard Nijboer | Netherlands |April 26, 1980 |Amsterdam Marathon |1
02:08:18|Robert De Castella | Australia |December 6, 1981 |Fukuoka Marathon |
02:08:05|Steve Jones | United Kingdom |October 21, 1984 |Chicago Marathon |
02:07:12|Carlos Lopes | Portugal |April 20, 1985 |Rotterdam Marathon |
02:06:50|Belayneh Dinsamo | Ethiopia |April 17, 1988 |Rotterdam Marathon |
02:06:05|Ronaldo da Costa | Brazil |September 20, 1998 |Berlin Marathon |
02:05:42|Khalid Khannouchi | Morocco |October 24, 1999 |Chicago Marathon |
02:05:38|Khalid Khannouchi | United States |April 14, 2002 |London Marathon |
02:04:55|Paul Tergat | Kenya |September 28, 2003 |Berlin Marathon |
02:04:26|Haile Gebrselassie | Ethiopia |September 30, 2007 |Berlin Marathon |
02:03:59|Haile Gebrselassie | Ethiopia |September 28, 2008 |Berlin Marathon |
02:03:38|Patrick Makau | Kenya |September 25, 2011 |Berlin Marathon |
02:03:23|Wilson Kipsang | Kenya |September 29, 2013 |Berlin Marathon |
02:02:57|Dennis Kimetto | Kenya |September 28, 2014 |Berlin Marathon |
02:01:39|Eliud Kipchoge | Kenya |September 16, 2018 |Berlin Marathon |
